LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2021-11-13 14:58:19,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:19,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:19,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:19,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:19,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:19,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:19,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:19,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:20,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:20,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:20,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:20,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:20,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:20,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:20,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:20,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:58:20,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
